id,date,workout,duration,distance,pace,category,user_id
1,2017-01-01,Rest,0,0.0,0.0,rest,1
2,2017-01-02,Rest,0,0.0,0.0,rest,1
3,2017-01-03,Rest,0,0.0,0.0,rest,1
4,2017-01-04,Rest,0,0.0,0.0,rest,1
5,2017-01-05,Chest,68,0.0,0.0,chest,1
6,2017-01-06,Back,48,0.0,0.0,back,1
7,2017-01-07,Running,24,5.28,4.33,cardio,1
8,2017-01-08,Other,52,0.0,0.0,other,1
9,2017-01-09,Back,44,0.0,0.0,back,1
10,2017-01-10,Running,24,5.46,4.24,cardio,1
11,2017-01-11,Chest,71,0.0,0.0,chest,1
12,2017-01-12,Back,44,0.0,0.0,back,1
13,2017-01-13,Running,24,5.62,4.16,cardio,1
14,2017-01-14,Other,66,0.0,0.0,other,1
15,2017-01-15,Back,45,0.0,0.0,back,1
16,2017-01-16,Running,24,5.66,4.14,cardio,1
17,2017-01-17,Chest,49,0.0,0.0,chest,1
18,2017-01-18,Back,60,0.0,0.0,back,1
19,2017-01-19,Running,24,5.52,4.21,cardio,1
20,2017-01-20,Other,38,0.0,0.0,other,1
21,2017-01-21,Back,39,0.0,0.0,back,1
22,2017-01-22,Running,46,9.63,4.47,cardio,1
23,2017-01-23,Back,50,0.0,0.0,back,1
24,2017-01-24,Chest,60,0.0,0.0,chest,1
25,2017-01-25,Running,47,10.0,4.42,cardio,1
26,2017-01-26,Back,45,0.0,0.0,back,1
27,2017-01-27,Chest,45,0.0,0.0,chest,1
28,2017-01-28,Running,49,10.6,4.37,cardio,1
29,2017-01-29,Back,41,0.0,0.0,back,1
30,2017-01-30,Rest,0,0.0,0.0,rest,1
31,2017-01-31,Chest,47,0.0,0.0,chest,1
32,2017-02-01,Rest,0,0.0,0.0,rest,1
33,2017-02-02,Running,38,8.04,4.44,cardio,1
34,2017-02-03,Back,51,0.0,0.0,back,1
35,2017-02-04,Chest,43,0.0,0.0,chest,1
36,2017-02-05,Running,35,7.64,4.35,cardio,1
37,2017-02-06,Back,40,0.0,0.0,back,1
38,2017-02-07,Chest,67,0.0,0.0,chest,1
39,2017-02-08,Back,43,0.0,0.0,back,1
40,2017-02-09,Rest,0,0.0,0.0,rest,1
41,2017-02-10,Chest,44,0.0,0.0,chest,1
42,2017-02-11,Running,46,9.86,4.4,cardio,1
43,2017-02-12,Back,44,0.0,0.0,back,1
44,2017-02-13,Chest,54,0.0,0.0,chest,1
45,2017-02-14,Running,47,10.1,4.39,cardio,1
46,2017-02-15,Back,52,0.0,0.0,back,1
