no,date,workout,duration,category,user,year,month,week,day,duration_diff,daydelta
1,2017-01-05,Chest,68,chest,maosa,2017,1,1,5,0.0,0
2,2017-01-06,Back,48,back,maosa,2017,1,1,6,-29.41,1
3,2017-01-07,Running,24,cardio,maosa,2017,1,1,7,-50.0,1
4,2017-01-08,Shoulders and Arms,52,other,maosa,2017,1,1,8,116.67,1
5,2017-01-09,Back,44,back,maosa,2017,1,2,9,-15.38,1
6,2017-01-10,Running,24,cardio,maosa,2017,1,2,10,-45.45,1
7,2017-01-11,Chest,71,chest,maosa,2017,1,2,11,195.83,1
8,2017-01-12,Back,44,back,maosa,2017,1,2,12,-38.03,1
9,2017-01-13,Running,24,cardio,maosa,2017,1,2,13,-45.45,1
10,2017-01-14,Shoulders and Arms,66,other,maosa,2017,1,2,14,175.0,1
11,2017-01-15,Back,45,back,maosa,2017,1,2,15,-31.82,1
12,2017-01-16,Running,24,cardio,maosa,2017,1,3,16,-46.67,1
13,2017-01-17,Chest,49,chest,maosa,2017,1,3,17,104.17,1
14,2017-01-18,Back,60,back,maosa,2017,1,3,18,22.45,1
15,2017-01-19,Running,24,cardio,maosa,2017,1,3,19,-60.0,1
16,2017-01-20,Shoulders and Arms,38,other,maosa,2017,1,3,20,58.33,1
17,2017-01-21,Back,39,back,maosa,2017,1,3,21,2.63,1
18,2017-01-22,Running,46,cardio,maosa,2017,1,3,22,17.95,1
19,2017-01-23,Back,50,back,maosa,2017,1,4,23,8.7,1
20,2017-01-24,Chest,60,chest,maosa,2017,1,4,24,20.0,1
21,2017-01-25,Running,47,cardio,maosa,2017,1,4,25,-21.67,1
22,2017-01-26,Back,45,back,maosa,2017,1,4,26,-4.26,1
23,2017-01-27,Chest,45,chest,maosa,2017,1,4,27,0.0,1
24,2017-01-28,Running,49,cardio,maosa,2017,1,4,28,8.89,1
25,2017-01-29,Back,41,back,maosa,2017,1,4,29,-16.33,1
26,2017-01-31,Chest,47,chest,maosa,2017,1,5,31,14.63,2
27,2017-02-02,Running,38,cardio,maosa,2017,2,5,2,-19.15,2
28,2017-02-03,Back,51,back,maosa,2017,2,5,3,34.21,1
29,2017-02-04,Chest,43,chest,maosa,2017,2,5,4,-15.69,1
30,2017-02-05,Running,35,cardio,maosa,2017,2,5,5,-18.6,1
